ingredient_id,ingredient_name,store_section_id,ciqual_aliment_code
BREAD,Bread,BAKERY,0
LARDONS,Lardons,BUTCHER,28501
CHICKEN_BREAST,Chicken Breast,BUTCHER,36017
CHORIZO,Chorizo,BUTCHER,30315
MINCED_BEEF,Minced Beef,BUTCHER,6254
PARMA_HAM,Parma Ham,BUTCHER,28844
PORK_SAUSAGE,Pork Sausage,BUTCHER,30011
BACON,Bacon,BUTCHER,0
PORK_TENDERLOIN,Pork Tenderloin,BUTCHER,0
BEEF,Beef,BUTCHER,0
BEEF_TENDERLOIN,Beef Tenderloin,BUTCHER,0
COOKED_HAM,Cooked Ham,BUTCHER,0
BEEF_STEAK,Beef Steak,BUTCHER,0
COCONUT_MILK,Coconut Milk,CAN,18041
CHOPPED_TOMATOES,Chopped Tomatoes,CAN,20169
TUNA,Tuna,CAN,26039
PICKLES,Pickles,CAN,11004
OLIVES,Olives,CAN,13184
TOMATO_COULIS,Tomato Coulis,CAN,20260
TOMATO_PUREE,Tomato Puree,CAN,20170
PETIS_POIDS,Petis poids,CAN,0
CHICKPEAS,Chickpeas,CAN,0
WHITE_WINE,White Wine,WINE,5215
RED_WINE,Red Wine,WINE,5214
RHUM,Rhum,WINE,0
COUSCOUS,Couscous,DELI,9681
RICE_SHEET,Rice Sheet,DELI,0
VERMICELLI,Vermicelli,DELI,9900
GREEN_LENTILS,Green Lentils,DELI,20585
CORAIL_LENTILS,Corail Lentils,DELI,20535
RICE,Rice,DELI,9100
QUINOA,Quinoa,DELI,9340
BARLEY,Barley,DELI,0
SPAGHETTI,Spaghetti,DELI,9810
PENNE,Penne,DELI,9810
OLIVE_OIL,Olive Oil,DELI,17270
EGG,Egg,DELI,22000
PLAIN_FLOUR,Plain Flour,DELI,9440
CHICKEN_STOCK,Chicken Stock,DELI,11174
SUGAR,Sugar,DELI,31016
LASAGNA,Lasagna,DELI,0
OAT,Oat,DELI,0
BAKING_POWDER,Baking Powder,DELI,0
DARK_CHOCOLATE_CHIPS,Dark Chocolate chips,DELI,0
VEGETABLE_STOCK,Vegetable Stock,DELI,0
CORN_STARCH,Corn starch,DELI,#N/A
SOY_MILK,Soy Milk,DELI,0
SEMI_SKIMED_MILK,Semi skimed Milk,DELI,0
AGAVE_SYRUP,Agave syrup,DELI,0
BROWN_SUGAR,Brown Sugar,DELI,0
FARFALLE,Farfalle,DELI,0
CORNFLOUR,Cornflour,DELI,0
