map_recipe_ingredient_id,recipe_id,ingredient_id,ingredient_qty_unit,ingredient_qty,is_key,comment
,QUICK_VEGETABLE_CURRY,OLIVE_OIL,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,RED_ONION,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,GINGER,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,GARLIC_GLOVE,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,CURRY_POWDER,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,VEGETABLE_STOCK,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,CORN_STARCH,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,COCONUT_MILK,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,AUBERGINES,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,ZUCCHINI,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,MUSHROOM,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,RED_BELL_PEPPER,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,LIME,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,BASIL,_TBD_,0,_TBD_,__comment__
,QUICK_VEGETABLE_CURRY,RICE,_TBD_,0,_TBD_,__comment__
,TABOULE,MINT,bunch,1,_TBD_,__comment__
,DHAL_DE_PATATE_DOUCE_ET_DE_LENTILLE_CORAIL,CORRIANDER,bunch,1,_TBD_,__comment__
,"SALADE_D_EBLY,_OIGNON_CARAMELISE_&_MOZZARELLA",PARSLEY,bunch,10,_TBD_,__comment__
,JARDINIERE_DE_LEGUMES_AUX_LARDONS,PARSLEY,bunch,1,_TBD_,__comment__
,GASPACHO_ANDALOU,BASIL,bunch,1,_TBD_,__comment__
,GÂTEAU_INVISIBLE_AUX_COURGETTES,MINT,bunch,1,_TBD_,__comment__
,"QUINOA_SALAD_WITH_ASPARAGUS,_PEAS,_AVOCADO_&_LEMON_BASIL_DRESSING",ASPARGUS,bunch,1,_TBD_,__comment__
,GALETTES_COMPLETES,WATER,cl,25,_TBD_,__comment__
,GALETTES_COMPLETES,SEMI_SKIMED_MILK,cl,25,_TBD_,__comment__
,"QUINOA_SALAD_WITH_ASPARAGUS,_PEAS,_AVOCADO_&_LEMON_BASIL_DRESSING",WATER,cup,2,_TBD_,__comment__
,"QUINOA_SALAD_WITH_ASPARAGUS,_PEAS,_AVOCADO_&_LEMON_BASIL_DRESSING",QUINOA,cup,1,_TBD_,__comment__
,"QUINOA_SALAD_WITH_ASPARAGUS,_PEAS,_AVOCADO_&_LEMON_BASIL_DRESSING",FROZEN_PEAS,cup,1,_TBD_,__comment__
,TABOULE,COUSCOUS,g,300,_TBD_,__comment__
,ROULEAUX_DE_PRINTEMPS,PRAWNS,g,250,_TBD_,__comment__
,ROULEAUX_DE_PRINTEMPS,VERMICELLI,g,300,_TBD_,__comment__
,LENTILLES_LARDONS,PARMIGIANO,g,100,_TBD_,__comment__
,LENTILLES_LARDONS,LARDONS,g,300,_TBD_,__comment__
,LENTILLES_LARDONS,GREEN_LENTILS,g,500,_TBD_,__comment__
,DHAL_DE_PATATE_DOUCE_ET_DE_LENTILLE_CORAIL,SWEET_POTATO,g,400,_TBD_,__comment__
,DHAL_DE_PATATE_DOUCE_ET_DE_LENTILLE_CORAIL,CORAIL_LENTILS,g,100,_TBD_,__comment__
,DHAL_DE_PATATE_DOUCE_ET_DE_LENTILLE_CORAIL,COCONUT_MILK,g,200,_TBD_,__comment__
,JAMBALAYA,CHICKEN_BREAST,g,600,_TBD_,__comment__
,JAMBALAYA,PRAWNS,g,250,_TBD_,__comment__
,JAMBALAYA,CHOPPED_TOMATOES,g,400,_TBD_,__comment__
,JAMBALAYA,RICE,g,250,_TBD_,__comment__
,SALADE_FALLAFEL,CHERRY_TOMATO,g,250,_TBD_,__comment__
,SALADE_FALLAFEL,QUINOA,g,150,_TBD_,__comment__
,SALADE_DE_RIZ_AU_THON_ET_AUX_LEGUMES_CROQUANTS,RICE,g,250,_TBD_,__comment__
,SALADE_DE_RIZ_AU_THON_ET_AUX_LEGUMES_CROQUANTS,CARROT,g,200,_TBD_,__comment__
,SALADE_DE_RIZ_AU_THON_ET_AUX_LEGUMES_CROQUANTS,COURGETTES,g,200,_TBD_,__comment__
,SALADE_DE_RIZ_AU_THON_ET_AUX_LEGUMES_CROQUANTS,YELLOW_PEPPER,g,100,_TBD_,__comment__
,SALADE_DE_RIZ_AU_THON_ET_AUX_LEGUMES_CROQUANTS,TUNA,g,300,_TBD_,__comment__
,SALADE_DE_RIZ_AU_THON_ET_AUX_LEGUMES_CROQUANTS,CHIVE,g,10,_TBD_,__comment__
,SALADE_DE_RIZ_AU_THON_ET_AUX_LEGUMES_CROQUANTS,PICKLES,g,50,_TBD_,__comment__
,"SALADE_D_EBLY,_OIGNON_CARAMELISE_&_MOZZARELLA",BARLEY,g,250,_TBD_,__comment__
,"SALADE_D_EBLY,_OIGNON_CARAMELISE_&_MOZZARELLA",CHERRY_TOMATO,g,250,_TBD_,__comment__
,"SALADE_D_EBLY,_OIGNON_CARAMELISE_&_MOZZARELLA",MOZZARELLA,g,125,_TBD_,__comment__
,AUBERGINES_A_LA_PARMESANE,PARMIGIANO,g,150,_TBD_,__comment__
,AUBERGINES_A_LA_PARMESANE,CHOPPED_TOMATOES,g,700,_TBD_,__comment__
,AUBERGINES_A_LA_PARMESANE,MOZZARELLA,g,250,_TBD_,__comment__
,SPAGHETTI_BOLOGNESE,CARROT,g,100,_TBD_,__comment__
,SPAGHETTI_BOLOGNESE,CELERY,g,100,_TBD_,__comment__
,SPAGHETTI_BOLOGNESE,MINCED_BEEF,g,500,_TBD_,__comment__
,SPAGHETTI_BOLOGNESE,SPAGHETTI,g,400,_TBD_,__comment__
,SPAGHETTI_BOLOGNESE,TOMATO_COULIS,g,500,_TBD_,__comment__
,SALADE_DE_PENNE_A_L_ITALIENNE,PENNE,g,300,_TBD_,__comment__
,SALADE_DE_PENNE_A_L_ITALIENNE,PARMIGIANO,g,20,_TBD_,__comment__
,SALADE_DE_PENNE_A_L_ITALIENNE,PINE_NUTS,g,15,_TBD_,__comment__
,SALADE_DE_PENNE_A_L_ITALIENNE,OLIVE_OIL,g,40,_TBD_,__comment__
,SALADE_DE_PENNE_A_L_ITALIENNE,RICOTTA,g,50,_TBD_,__comment__
,SALADE_DE_PENNE_A_L_ITALIENNE,CHERRY_TOMATO,g,100,_TBD_,__comment__
,SALADE_DE_PENNE_A_L_ITALIENNE,MOZZARELLA,g,100,_TBD_,__comment__
,QUICHE_POIVRONS_ET_COURGETTES,PARMIGIANO,g,70,_TBD_,__comment__
,QUICHE_POIVRONS_ET_COURGETTES,LARDONS,g,100,_TBD_,__comment__
,QUICHE_POIVRONS_ET_COURGETTES,CRÈME_FRAICHE,g,125,_TBD_,__comment__
,QUICHE_POIVRONS_ET_COURGETTES,PLAIN_FLOUR,g,150,_TBD_,__comment__
