field_name,field_type,field_default,dep_table_category,dep_table_type,dep_table_name,dep_table_field,display,display_long,comment
comment,TEXT,,__no_dep__,__no_dep__,__no_dep__,__no_dep__,Comment,Comment,__comment__
expected_cost,INT,,__no_dep__,__no_dep__,__no_dep__,__no_dep__,Expected Cost,Expected Cost for the recipe,__comment__
ingredient_qty,FLOAT,,__no_dep__,__no_dep__,__no_dep__,__no_dep__,Ingredient Quantity,Required quantity of the ingredient,__comment__
ingredient_qty_unit,TEXT,,ingredient,static,unit,unit_id,Unit,Unit in which the ingredient is measured,__comment__
is_key,TEXT,,__no_dep__,__no_dep__,__no_dep__,__no_dep__,Is Key,Flag indicating if an ingredient is key to a recipe,__comment__
map_recipe_ingredient_sid,SERIAL,,__no_dep__,__no_dep__,__no_dep__,__no_dep__,__display__,__display_long__,__comment__
recipe_id,TEXT,,recipe,static,recipe,recipe_id,Recipe id,Unique identifier of a recipe,__comment__
recipe_meal,TEXT,,recipe,enum,meal,code,Recipe Meal,Recipe Meal,__comment__
recipe_name,TEXT,,__no_dep__,__no_dep__,__no_dep__,__no_dep__,Recipe Name,Recipe Name,__comment__
recipe_nb_meal,INT,,__no_dep__,__no_dep__,__no_dep__,__no_dep__,Number of meals,Number of people the recipe can feed,__comment__
