field_name,field_type,field_default,dep_table_category,dep_table_type,dep_table_name,dep_table_field,display,display_long,comment
author_name,TEXT,,,,,,,,
book_id,TEXT,,,,,,,,
book_name,TEXT,,,,,,,,
comment,TEXT,,,,,,,,
language,TEXT,,,,,,,,
link,TEXT,,,,,,,,
link_id,TEXT,,,,,,,,
map_recipe_book_sid,TEXT,,,,,,,,
page_nb,TEXT,,,,,,,,
parent_book_id,TEXT,,,,,,,,
parent_website_id,TEXT,,,,,,,,
recipe_id,TEXT,,,,,,,,
website_id,TEXT,,,,,,,,
website_link,TEXT,,,,,,,,
website_name,TEXT,,,,,,,,
