table_name,field_category,field_name
book,recipe_src,book_id
book,recipe_src,author_name
book,recipe_src,book_name
book,recipe_src,parent_book_id
book,recipe_src,language
book,recipe_src,comment
link,recipe_src,link_id
link,recipe_src,website_id
link,recipe_src,link
link,recipe_src,comment
map_recipe_book,recipe_src,map_recipe_book_sid
map_recipe_book,recipe_src,recipe_id
map_recipe_book,recipe_src,book_id
map_recipe_book,recipe_src,page_nb
map_recipe_book,recipe_src,comment
map_recipe_link,recipe_src,recipe_id
map_recipe_link,recipe_src,link_id
map_recipe_link,recipe_src,comment
website,recipe_src,website_id
website,recipe_src,website_name
website,recipe_src,website_link
website,recipe_src,language
website,recipe_src,parent_website_id
website,recipe_src,comment
